fog_nodes,iot_tasks,cpu_limit,algorithm,fog_energy,cloud_energy,energy_saved_percent,qos_satisfaction,throughput
25,1593,885,Round Robin,457.8,562.74,18.65,98.52,63.72
77,1739,147,QoS Aware Heuristic,182.41,419.25,56.49,90.55,22.58
43,1621,748,FCFS,266.48,385.13,30.81,96.76,37.7
22,1633,100,Round Robin,224.64,520.03,56.8,87.95,74.23
8,1670,846,FCFS,414.95,600.09,30.85,73.7,208.75
93,1101,867,Bin Packing,120.05,218.05,44.94,64.92,11.84
64,1781,506,Reinforcement Learning,178.62,443.32,59.71,97.17,27.83
18,495,206,FCFS,184.26,314.13,41.34,79.58,27.5
13,1281,272,Round Robin,497.19,619.39,19.73,75.86,98.54
94,1543,605,QoS Aware Heuristic,328.31,460.17,28.65,83.11,16.41
57,765,229,QoS Aware Heuristic,155.58,397.63,60.87,64.26,13.42
6,1025,497,QoS Aware Heuristic,208.88,302.18,30.88,72.37,170.83
88,868,393,QoS Aware Heuristic,167.13,312.58,46.53,85.52,9.86
96,153,651,FCFS,149.84,207.55,27.81,64.0,1.59
64,791,546,QoS Aware Heuristic,418.87,675.53,37.99,65.41,12.36
75,475,949,Reinforcement Learning,298.3,433.48,31.18,80.42,6.33
48,1174,115,Bin Packing,352.48,464.52,24.12,84.94,24.46
12,1614,738,FCFS,232.5,427.47,45.61,67.48,134.5
51,688,984,FCFS,321.48,547.73,41.31,61.32,13.49
39,899,448,QoS Aware Heuristic,203.03,456.25,55.5,98.33,23.05
82,1595,302,QoS Aware Heuristic,223.21,360.16,38.02,61.1,19.45
85,1179,233,FCFS,360.9,613.98,41.22,60.08,13.87
40,1752,870,QoS Aware Heuristic,160.14,326.36,50.93,72.93,43.8
54,818,625,QoS Aware Heuristic,346.89,422.18,17.83,68.9,15.15
8,1880,607,QoS Aware Heuristic,440.89,702.47,37.24,82.94,235.0
6,326,165,QoS Aware Heuristic,148.17,335.08,55.78,95.77,54.33
10,1138,579,QoS Aware Heuristic,458.98,659.6,30.42,79.24,113.8
58,1856,962,Round Robin,131.78,416.15,68.33,90.93,32.0
8,949,558,Round Robin,239.56,429.35,44.2,96.37,118.62
58,237,441,Round Robin,344.2,395.6,12.99,67.58,4.09
97,1390,806,FCFS,323.77,591.42,45.26,79.53,14.33
67,1989,725,Bin Packing,138.56,259.75,46.66,85.68,29.69
22,1211,258,FCFS,419.57,595.01,29.49,73.28,55.05
94,1416,260,Round Robin,489.26,590.48,17.14,89.59,15.06
48,154,353,FCFS,172.49,296.74,41.87,88.21,3.21
38,595,996,Bin Packing,458.05,679.71,32.61,76.84,15.66
78,429,626,QoS Aware Heuristic,322.72,480.11,32.78,63.52,5.5
66,159,648,Reinforcement Learning,474.37,681.15,30.36,60.46,2.41
18,594,254,Round Robin,170.43,426.32,60.02,74.77,33.0
99,403,585,Round Robin,416.81,552.02,24.49,63.28,4.07
52,792,531,Bin Packing,123.91,316.0,60.79,91.26,15.23
19,366,126,QoS Aware Heuristic,453.28,697.68,35.03,73.37,19.26
76,1339,111,QoS Aware Heuristic,369.66,598.44,38.23,86.64,17.62
82,1767,166,Reinforcement Learning,248.1,433.06,42.71,73.86,21.55
91,1925,641,QoS Aware Heuristic,176.19,322.04,45.29,91.84,21.15
66,1138,195,Bin Packing,426.61,578.49,26.25,95.54,17.24
44,382,314,QoS Aware Heuristic,341.3,499.58,31.68,93.5,8.68
89,1586,293,Bin Packing,244.17,381.38,35.98,79.38,17.82
84,1206,746,Round Robin,277.53,502.3,44.75,63.36,14.36
86,641,389,Round Robin,430.62,511.97,15.89,74.87,7.45
57,832,643,Round Robin,235.57,527.43,55.34,76.98,14.6
28,1826,984,FCFS,135.85,380.6,64.31,98.41,65.21
30,589,138,Round Robin,464.51,589.05,21.14,82.62,19.63
93,784,963,Bin Packing,254.94,315.58,19.22,85.63,8.43
64,1608,305,Reinforcement Learning,239.36,467.19,48.77,91.28,25.12
45,1569,998,QoS Aware Heuristic,181.76,415.35,56.24,82.73,34.87
33,670,654,Round Robin,458.97,749.88,38.79,83.94,20.3
19,668,583,FCFS,187.0,300.43,37.76,69.81,35.16
49,1730,436,FCFS,354.67,425.35,16.62,62.35,35.31
69,1442,595,Bin Packing,452.31,731.09,38.13,88.86,20.9
93,1939,870,Reinforcement Learning,113.97,228.63,50.15,93.95,20.85
75,958,348,Round Robin,431.52,661.9,34.81,76.48,12.77
13,1983,173,Round Robin,264.24,329.4,19.78,81.96,152.54
92,1724,472,FCFS,363.19,603.34,39.8,72.29,18.74
5,1869,930,Bin Packing,248.96,330.72,24.72,78.01,373.8
12,1883,978,FCFS,378.21,602.11,37.19,68.36,156.92
92,1041,907,FCFS,201.72,384.81,47.58,90.4,11.32
67,148,885,Reinforcement Learning,108.77,397.64,72.65,79.68,2.21
15,366,934,Bin Packing,479.12,538.35,11.0,81.89,24.4
85,172,970,Reinforcement Learning,106.55,229.56,53.59,61.48,2.02
12,1393,801,Bin Packing,429.64,497.02,13.56,84.9,116.08
39,848,237,Round Robin,167.66,437.46,61.67,68.11,21.74
39,1666,556,QoS Aware Heuristic,256.89,455.37,43.59,75.34,42.72
37,1568,913,QoS Aware Heuristic,429.0,612.74,29.99,76.51,42.38
9,506,922,Bin Packing,182.37,265.23,31.24,77.95,56.22
45,571,942,QoS Aware Heuristic,446.28,618.54,27.85,69.1,12.69
32,569,543,FCFS,299.1,448.78,33.35,94.0,17.78
11,966,452,Round Robin,246.46,375.4,34.35,77.11,87.82
77,766,893,Round Robin,364.98,608.03,39.97,84.49,9.95
76,364,510,QoS Aware Heuristic,236.56,301.88,21.64,84.56,4.79
16,758,777,Bin Packing,238.92,450.59,46.98,84.28,47.38
38,759,889,FCFS,393.41,649.16,39.4,82.37,19.97
37,1615,637,Bin Packing,223.93,500.76,55.28,92.91,43.65
52,1552,552,QoS Aware Heuristic,180.31,416.79,56.74,92.5,29.85
27,1986,518,Round Robin,423.06,543.67,22.18,76.69,73.56
66,1093,549,Round Robin,422.15,622.28,32.16,85.43,16.56
92,609,684,Bin Packing,299.03,384.38,22.2,64.11,6.62
41,1018,214,Reinforcement Learning,310.66,389.93,20.33,63.63,24.83
48,1203,150,Bin Packing,378.43,588.09,35.65,79.2,25.06
90,1366,468,Reinforcement Learning,303.71,566.49,46.39,96.01,15.18
95,1970,782,Bin Packing,266.82,333.63,20.03,86.0,20.74
39,1205,879,Reinforcement Learning,497.96,574.46,13.32,86.77,30.9
69,405,614,Reinforcement Learning,159.06,350.46,54.61,66.31,5.87
51,1127,309,Reinforcement Learning,337.09,441.64,23.67,78.13,22.1
82,939,987,Reinforcement Learning,454.35,657.3,30.88,76.03,11.45
7,842,949,FCFS,374.89,478.53,21.66,91.32,120.29
5,1460,912,Reinforcement Learning,452.37,531.49,14.89,65.51,292.0
9,314,994,Reinforcement Learning,234.53,420.92,44.28,81.57,34.89
94,1031,953,Round Robin,208.8,474.35,55.98,96.45,10.97
18,1288,726,FCFS,440.51,661.79,33.44,95.7,71.56
31,1533,778,Reinforcement Learning,257.65,512.33,49.71,94.09,49.45
13,1531,534,QoS Aware Heuristic,383.87,500.45,23.3,75.0,117.77
83,851,876,FCFS,159.1,430.59,63.05,97.64,10.25
19,92,326,Round Robin,402.34,546.6,26.39,92.21,4.84
94,1659,762,Bin Packing,319.59,582.7,45.15,94.05,17.65
46,911,367,Round Robin,207.44,375.23,44.72,97.29,19.8
81,1351,215,Round Robin,297.8,414.76,28.2,97.48,16.68
55,1911,699,FCFS,378.78,493.84,23.3,69.6,34.75
67,1827,929,FCFS,104.75,296.67,64.69,65.11,27.27
56,1203,853,QoS Aware Heuristic,354.99,424.74,16.42,87.63,21.48
8,399,459,QoS Aware Heuristic,316.64,599.15,47.15,82.53,49.88
98,1779,428,FCFS,188.11,305.98,38.52,73.1,18.15
27,1617,944,FCFS,401.19,535.1,25.03,87.38,59.89
19,1179,139,FCFS,221.38,329.71,32.86,62.48,62.05
47,961,281,Bin Packing,210.74,261.49,19.41,61.89,20.45
33,1789,589,Round Robin,288.49,511.63,43.61,74.17,54.21
40,50,308,QoS Aware Heuristic,370.46,568.1,34.79,67.75,1.25
17,1830,372,QoS Aware Heuristic,471.54,723.95,34.87,88.74,107.65
36,633,218,Reinforcement Learning,156.54,216.79,27.79,97.92,17.58
75,481,481,Bin Packing,258.59,540.75,52.18,86.47,6.41
63,1379,635,FCFS,126.8,259.52,51.14,86.19,21.89
90,1982,357,FCFS,403.42,681.69,40.82,60.26,22.02
32,1600,582,Bin Packing,279.09,355.87,21.58,80.49,50.0
70,102,608,QoS Aware Heuristic,382.77,618.75,38.14,92.68,1.46
46,989,191,FCFS,228.88,423.72,45.98,86.16,21.5
49,569,260,Reinforcement Learning,437.73,577.28,24.17,69.11,11.61
66,1403,248,QoS Aware Heuristic,313.93,383.72,18.19,93.94,21.26
61,1631,216,Round Robin,477.44,678.62,29.65,98.58,26.74
10,1398,557,Bin Packing,131.53,188.14,30.09,71.16,139.8
32,1187,664,QoS Aware Heuristic,305.71,481.03,36.45,68.28,37.09
32,196,913,Round Robin,406.58,607.63,33.09,73.54,6.12
48,1239,144,Reinforcement Learning,340.06,573.19,40.67,62.53,25.81
88,1452,876,Bin Packing,109.28,407.11,73.16,94.94,16.5
34,1212,873,FCFS,488.94,603.96,19.04,97.17,35.65
66,678,918,FCFS,219.31,349.91,37.32,85.33,10.27
79,348,333,Round Robin,199.71,335.0,40.39,90.57,4.41
96,1349,474,QoS Aware Heuristic,294.26,527.16,44.18,86.75,14.05
93,1989,646,Reinforcement Learning,316.86,599.81,47.17,75.09,21.39
66,838,949,Round Robin,406.52,700.1,41.93,85.28,12.7
5,899,296,Reinforcement Learning,257.31,543.76,52.68,93.45,179.8
31,1898,124,Reinforcement Learning,275.98,545.83,49.44,92.4,61.23
66,227,494,Reinforcement Learning,313.98,611.72,48.67,63.24,3.44
81,891,813,Bin Packing,257.75,401.74,35.84,78.5,11.0
7,1427,884,Round Robin,465.82,752.9,38.13,75.89,203.86
74,1227,135,Bin Packing,440.5,680.75,35.29,90.08,16.58
76,1999,573,QoS Aware Heuristic,281.99,374.1,24.62,80.06,26.3
31,1274,322,QoS Aware Heuristic,100.08,161.45,38.01,73.99,41.1
13,927,963,FCFS,460.37,563.99,18.37,88.25,71.31
66,1188,888,FCFS,149.73,394.42,62.04,78.94,18.0
41,1744,629,FCFS,197.8,405.72,51.25,70.26,42.54
55,1627,287,QoS Aware Heuristic,160.94,267.03,39.73,95.62,29.58
48,808,501,Reinforcement Learning,171.93,407.41,57.8,64.52,16.83
28,1141,356,Reinforcement Learning,421.15,506.48,16.85,60.72,40.75
83,1518,753,Round Robin,331.8,587.26,43.5,65.76,18.29
63,494,235,QoS Aware Heuristic,482.44,730.98,34.0,66.55,7.84
36,1399,918,FCFS,192.58,485.72,60.35,81.52,38.86
92,1919,690,QoS Aware Heuristic,294.25,381.82,22.93,84.99,20.86
56,757,543,Reinforcement Learning,490.97,767.62,36.04,77.94,13.52
66,651,517,Reinforcement Learning,430.58,565.86,23.91,68.17,9.86
62,1696,391,Bin Packing,391.45,545.46,28.23,65.29,27.35
56,1953,673,Bin Packing,175.59,342.7,48.76,79.69,34.88
16,1432,228,Round Robin,407.76,614.49,33.64,82.62,89.5
43,194,440,QoS Aware Heuristic,239.03,537.72,55.55,72.16,4.51
6,324,909,Bin Packing,312.21,512.2,39.05,68.82,54.0
7,558,356,Bin Packing,343.66,625.34,45.04,63.22,79.71
60,1252,823,QoS Aware Heuristic,343.75,457.51,24.87,61.05,20.87
85,802,665,Reinforcement Learning,390.61,540.21,27.69,64.23,9.44
63,1911,786,Round Robin,364.68,540.8,32.57,89.68,30.33
6,1904,199,Round Robin,127.35,258.08,50.65,73.76,317.33
6,526,138,Round Robin,282.94,577.16,50.98,61.1,87.67
96,1916,362,Bin Packing,365.61,597.03,38.76,80.33,19.96
58,1487,249,Reinforcement Learning,218.4,388.12,43.73,81.44,25.64
91,1226,732,Round Robin,225.22,463.05,51.36,77.15,13.47
5,1177,789,QoS Aware Heuristic,149.83,316.69,52.69,64.43,235.4
23,1148,912,Round Robin,267.45,321.76,16.88,90.2,49.91
6,1201,429,FCFS,494.73,680.53,27.3,87.56,200.17
57,1784,219,Reinforcement Learning,214.13,420.43,49.07,75.79,31.3
48,715,683,FCFS,312.57,607.87,48.58,75.23,14.9
94,617,318,Reinforcement Learning,397.29,457.49,13.16,66.24,6.56
36,1863,913,QoS Aware Heuristic,105.4,283.42,62.81,90.14,51.75
74,1418,222,Bin Packing,460.18,534.72,13.94,83.98,19.16
36,580,343,Bin Packing,254.62,341.87,25.52,63.43,16.11
72,208,985,Reinforcement Learning,447.65,650.27,31.16,75.12,2.89
59,1611,686,Round Robin,115.58,223.47,48.28,96.14,27.31
79,1499,617,FCFS,158.27,395.56,59.99,78.09,18.97
60,730,120,QoS Aware Heuristic,229.01,407.56,43.81,73.0,12.17
21,72,289,Round Robin,238.18,342.73,30.51,85.75,3.43
42,1120,324,Bin Packing,439.12,612.57,28.32,68.12,26.67
28,574,714,Round Robin,104.48,154.7,32.46,80.95,20.5
73,778,955,FCFS,356.44,622.13,42.71,86.78,10.66
74,1907,565,Bin Packing,152.52,205.69,25.85,94.2,25.77
90,1779,198,Reinforcement Learning,429.29,481.04,10.76,87.7,19.77
15,193,929,QoS Aware Heuristic,411.43,614.31,33.03,75.38,12.87
20,1658,462,QoS Aware Heuristic,299.97,593.35,49.44,90.71,82.9
77,717,182,Bin Packing,185.07,449.05,58.79,95.94,9.31
63,1662,792,Reinforcement Learning,353.8,466.8,24.21,79.11,26.38
74,1492,763,FCFS,162.5,261.67,37.9,60.18,20.16
84,730,155,QoS Aware Heuristic,176.01,382.54,53.99,95.24,8.69
97,1022,801,Bin Packing,350.68,606.34,42.16,66.62,10.54
7,848,121,QoS Aware Heuristic,496.49,637.01,22.06,65.05,121.14
24,134,679,Reinforcement Learning,456.42,614.51,25.73,72.31,5.58
63,465,284,FCFS,337.24,416.11,18.95,75.2,7.38
40,743,621,Reinforcement Learning,315.41,403.62,21.85,91.98,18.58
23,531,677,Round Robin,499.35,691.44,27.78,75.57,23.09
94,505,363,Reinforcement Learning,318.96,394.62,19.17,61.95,5.37
71,876,324,Reinforcement Learning,268.05,368.56,27.27,85.44,12.34
23,346,734,QoS Aware Heuristic,463.82,572.49,18.98,86.85,15.04
24,1185,137,Reinforcement Learning,193.67,354.65,45.39,92.57,49.38
75,1303,222,Bin Packing,139.01,200.41,30.64,75.95,17.37
56,1169,929,QoS Aware Heuristic,353.64,528.58,33.1,63.44,20.88
37,999,255,QoS Aware Heuristic,138.34,420.51,67.1,82.12,27.0
44,729,400,Round Robin,249.26,305.38,18.38,64.84,16.57
43,427,932,Bin Packing,269.43,477.18,43.54,60.68,9.93
86,1229,166,Reinforcement Learning,319.02,577.98,44.8,91.14,14.29
5,470,744,Round Robin,496.66,624.78,20.51,76.14,94.0
15,154,973,Bin Packing,188.39,271.27,30.55,81.0,10.27
96,1778,493,Round Robin,250.3,311.13,19.55,86.51,18.52
61,379,751,FCFS,152.9,363.88,57.98,76.04,6.21
93,488,693,Reinforcement Learning,343.05,531.11,35.41,62.05,5.25
54,1205,669,Round Robin,391.07,498.39,21.53,70.11,22.31
27,1940,760,FCFS,292.83,550.73,46.83,67.77,71.85
35,431,504,Reinforcement Learning,198.33,432.21,54.11,99.1,12.31
98,187,548,Round Robin,348.36,467.47,25.48,89.58,1.91
46,992,230,Round Robin,315.66,554.0,43.02,78.06,21.57
11,892,168,Round Robin,168.47,279.72,39.77,62.53,81.09
20,319,444,Round Robin,262.27,481.09,45.48,64.63,15.95
94,1623,861,QoS Aware Heuristic,274.08,353.72,22.51,92.52,17.27
64,445,419,Round Robin,493.05,716.11,31.15,97.82,6.95
6,1630,276,QoS Aware Heuristic,439.71,549.4,19.97,61.25,271.67
5,962,683,QoS Aware Heuristic,393.75,586.87,32.91,96.42,192.4
52,513,628,FCFS,455.51,548.63,16.97,75.22,9.87
16,1748,940,Reinforcement Learning,394.19,625.68,37.0,68.55,109.25
73,499,259,QoS Aware Heuristic,461.36,526.58,12.39,64.09,6.84
41,1404,681,Bin Packing,121.82,213.17,42.85,90.87,34.24
36,1326,724,QoS Aware Heuristic,282.43,378.46,25.37,78.76,36.83
13,1754,843,Bin Packing,398.76,459.1,13.14,93.3,134.92
23,1358,632,FCFS,333.32,569.57,41.48,69.05,59.04
52,1347,234,Bin Packing,170.07,465.31,63.45,87.14,25.9
84,69,874,FCFS,236.2,480.8,50.87,64.72,0.82
7,288,210,FCFS,227.11,492.27,53.86,63.59,41.14
24,1343,857,FCFS,204.54,256.04,20.11,65.34,55.96
28,467,382,Bin Packing,237.25,316.72,25.09,92.36,16.68
58,1383,619,Bin Packing,305.94,495.7,38.28,86.22,23.84
37,1104,895,FCFS,441.95,736.42,39.99,66.64,29.84
28,1899,818,FCFS,396.81,611.99,35.16,75.39,67.82
79,1177,293,Reinforcement Learning,434.1,577.63,24.85,90.55,14.9
76,1755,146,FCFS,453.44,539.98,16.03,71.43,23.09
40,235,441,Round Robin,266.46,354.67,24.87,96.85,5.88
42,1201,341,Reinforcement Learning,238.41,379.1,37.11,96.58,28.6
88,1283,621,Reinforcement Learning,123.05,351.5,64.99,82.12,14.58
93,1487,469,Reinforcement Learning,472.2,530.15,10.93,85.28,15.99
29,1354,900,Round Robin,126.33,389.37,67.56,86.13,46.69
97,302,230,Reinforcement Learning,396.45,681.84,41.86,70.34,3.11
22,68,369,Reinforcement Learning,251.24,523.44,52.0,74.61,3.09
86,761,913,Bin Packing,479.51,757.77,36.72,65.44,8.85
70,1805,160,Bin Packing,267.84,321.67,16.73,96.99,25.79
58,1209,263,FCFS,426.64,721.09,40.83,88.95,20.84
39,272,624,FCFS,213.06,354.65,39.92,61.85,6.97
84,52,371,QoS Aware Heuristic,219.64,486.96,54.9,81.98,0.62
65,1309,819,Round Robin,338.21,434.91,22.23,73.72,20.14
45,903,857,Bin Packing,499.19,660.82,24.46,92.61,20.07
37,1538,232,FCFS,307.03,368.07,16.58,73.75,41.57
72,277,343,Round Robin,474.52,534.54,11.23,85.77,3.85
37,962,905,Reinforcement Learning,414.5,700.32,40.81,66.63,26.0
18,1727,533,Round Robin,418.35,671.0,37.65,82.35,95.94
25,548,137,Bin Packing,274.38,456.84,39.94,71.76,21.92
52,570,970,QoS Aware Heuristic,254.62,435.98,41.6,66.6,10.96
24,751,667,Bin Packing,176.77,413.96,57.3,84.77,31.29
12,1935,418,FCFS,485.58,621.0,21.81,85.55,161.25
11,966,609,FCFS,483.76,724.23,33.2,99.33,87.82
71,1750,475,Round Robin,398.83,570.08,30.04,86.76,24.65
21,1212,659,Bin Packing,218.5,427.98,48.95,80.63,57.71
37,1349,716,FCFS,198.07,489.28,59.52,96.5,36.46
52,340,573,Reinforcement Learning,495.44,663.27,25.3,93.13,6.54
80,1126,158,Reinforcement Learning,126.62,281.22,54.97,81.95,14.08
63,1760,688,QoS Aware Heuristic,437.43,713.87,38.72,80.45,27.94
90,1183,598,Round Robin,242.18,517.83,53.23,97.68,13.14
26,764,317,FCFS,267.55,565.65,52.7,84.69,29.38
34,997,994,QoS Aware Heuristic,432.79,620.51,30.25,88.55,29.32
42,697,666,Reinforcement Learning,136.24,272.31,49.97,63.47,16.6
55,1077,666,QoS Aware Heuristic,241.67,351.77,31.3,88.73,19.58
58,1740,228,QoS Aware Heuristic,480.81,539.33,10.85,70.59,30.0
12,733,482,FCFS,379.63,611.31,37.9,64.62,61.08
31,919,487,FCFS,401.98,510.35,21.23,93.99,29.65
31,1120,184,FCFS,403.0,604.66,33.35,87.65,36.13
25,143,609,Round Robin,124.23,403.38,69.2,76.3,5.72
34,989,825,QoS Aware Heuristic,181.28,468.83,61.33,77.26,29.09
32,609,726,QoS Aware Heuristic,296.51,347.61,14.7,67.88,19.03
68,1825,536,Round Robin,247.26,376.53,34.33,60.38,26.84
73,1932,925,Reinforcement Learning,264.36,523.7,49.52,73.97,26.47
65,262,392,Bin Packing,412.58,596.69,30.86,65.94,4.03
52,485,148,Reinforcement Learning,105.87,357.75,70.41,76.87,9.33
23,901,166,Round Robin,364.2,627.53,41.96,93.35,39.17
8,557,886,QoS Aware Heuristic,100.04,260.7,61.63,64.59,69.62
39,885,228,QoS Aware Heuristic,125.22,264.97,52.74,63.67,22.69
68,700,128,FCFS,263.31,427.17,38.36,96.08,10.29
53,254,442,FCFS,436.38,649.58,32.82,89.81,4.79
21,430,644,QoS Aware Heuristic,158.0,299.79,47.3,62.12,20.48
48,1146,218,QoS Aware Heuristic,321.85,565.6,43.1,63.18,23.88
96,1589,791,FCFS,371.4,647.4,42.63,87.4,16.55
34,1149,762,FCFS,191.81,312.39,38.6,74.81,33.79
97,1914,232,Reinforcement Learning,304.93,596.18,48.85,88.97,19.73
50,126,426,QoS Aware Heuristic,464.56,670.24,30.69,76.18,2.52
10,865,284,QoS Aware Heuristic,304.89,574.43,46.92,98.71,86.5
41,817,605,Round Robin,162.93,238.91,31.8,87.78,19.93
28,459,745,Reinforcement Learning,351.13,464.0,24.33,61.86,16.39
97,1687,788,Bin Packing,336.88,467.13,27.88,73.22,17.39
50,155,633,Bin Packing,110.78,236.49,53.16,82.54,3.1
57,1918,340,Bin Packing,136.24,229.21,40.56,65.67,33.65
99,600,688,FCFS,162.71,429.76,62.14,60.1,6.06
64,1549,815,Bin Packing,154.52,309.17,50.02,63.17,24.2
67,875,615,Round Robin,203.79,494.57,58.79,80.97,13.06
89,1348,939,FCFS,281.64,477.51,41.02,85.29,15.15
36,137,264,FCFS,248.69,333.29,25.38,63.72,3.81
91,1796,739,Bin Packing,456.26,642.74,29.01,86.61,19.74
37,930,656,FCFS,344.84,643.23,46.39,84.68,25.14
71,1150,317,Reinforcement Learning,450.46,641.75,29.81,97.6,16.2
22,1150,846,Reinforcement Learning,310.82,361.29,13.97,93.63,52.27
29,1515,747,Bin Packing,135.95,419.22,67.57,97.73,52.24
99,589,779,Round Robin,285.31,394.03,27.59,98.64,5.95
58,294,848,FCFS,428.81,650.94,34.12,77.63,5.07
62,627,704,QoS Aware Heuristic,177.64,356.41,50.16,79.52,10.11
71,1851,104,Bin Packing,136.49,267.85,49.04,71.26,26.07
50,1455,767,FCFS,231.77,352.43,34.24,80.34,29.1
28,1031,856,Bin Packing,255.56,537.75,52.48,66.03,36.82
36,766,971,Bin Packing,222.5,500.48,55.54,86.86,21.28
51,1643,180,Round Robin,154.1,332.38,53.64,61.0,32.22
90,1786,346,QoS Aware Heuristic,200.34,314.96,36.39,69.43,19.84
27,1810,954,FCFS,372.91,448.5,16.85,68.32,67.04
70,191,592,Bin Packing,254.37,343.51,25.95,97.52,2.73
31,942,748,Bin Packing,353.02,533.58,33.84,65.8,30.39
6,1441,485,FCFS,314.52,441.48,28.76,95.63,240.17
94,1157,674,Bin Packing,319.62,380.14,15.92,64.97,12.31
21,1216,406,Bin Packing,199.42,363.21,45.1,86.03,57.9
37,401,727,Bin Packing,308.62,545.17,43.39,72.8,10.84
13,594,724,Reinforcement Learning,109.44,382.36,71.38,72.64,45.69
47,962,642,Reinforcement Learning,272.7,469.02,41.86,99.93,20.47
52,201,106,QoS Aware Heuristic,329.05,559.87,41.23,69.04,3.87
43,1231,614,Round Robin,172.8,313.82,44.94,68.1,28.63
97,1519,918,FCFS,202.62,376.68,46.21,83.57,15.66
46,702,854,Round Robin,187.81,420.22,55.31,89.63,15.26
30,1007,667,Round Robin,128.22,360.13,64.4,99.3,33.57
54,812,172,Reinforcement Learning,239.14,395.27,39.5,88.06,15.04
29,1376,109,QoS Aware Heuristic,491.59,677.51,27.44,82.47,47.45
28,673,672,Round Robin,241.55,522.51,53.77,76.37,24.04
17,705,661,Round Robin,284.21,492.21,42.26,83.8,41.47
64,499,221,Bin Packing,361.23,571.87,36.83,84.03,7.8
11,770,786,FCFS,359.4,605.56,40.65,68.71,70.0
61,1297,612,QoS Aware Heuristic,479.96,558.77,14.1,86.85,21.26
40,92,540,FCFS,443.03,623.75,28.97,68.18,2.3
49,313,137,Reinforcement Learning,417.58,707.44,40.97,79.6,6.39
24,1829,801,Round Robin,480.65,621.07,22.61,70.39,76.21
69,1076,690,Round Robin,192.31,316.04,39.15,72.51,15.59
12,1710,444,FCFS,346.82,547.12,36.61,84.56,142.5
20,1341,437,Reinforcement Learning,454.88,560.16,18.79,62.58,67.05
18,645,801,Bin Packing,349.66,538.65,35.09,60.48,35.83
